0 1000 375 0 0 0
0 1001 397 127 0 0
0 4000 261 170 1 4
0 4001 306 81 1 6
0 0 491 198 4 4
0 1 381 268 4 0
0 800 265 104 5 7
0 801 282 322 5 4
0 5000 101 65 3 7
0 5001 71 26 3 6
1 1000 375 0 0 2
1 1001 387 127 0 7
1 4000 261 180 1 4
1 4001 306 71 1 2
1 0 491 200 4 3
1 1 381 266 4 0
1 800 265 104 5 7
1 801 282 324 5 4
1 5000 111 75 3 4
1 5001 81 36 3 4
2 1000 375 0 0 4
2 1001 387 137 0 3
2 4000 261 190 1 4
2 4001 306 61 1 2
2 0 491 202 4 3
2 1 381 264 4 0
2 800 265 104 5 7
2 801 282 326 5 4
2 5000 121 85 3 4
2 5001 91 46 3 4
3 1000 385 10 0 4
3 1001 387 147 0 3
3 4000 220 190 2 7
3 4001 265 61 2 7
3 0 493 202 4 6
3 1 381 262 4 0
3 800 245 104 6 7
3 801 262 326 6 7
3 5000 125 95 3 5
3 5001 81 46 3 7
4 1000 395 20 0 4
4 1001 377 137 0 2
4 4000 179 190 2 7
4 4001 224 61 2 7
4 0 491 204 4 5
4 1 381 260 4 0
4 800 225 104 6 7
4 801 242 326 6 7
4 5000 115 105 3 5
4 5001 71 46 3 7
5 1000 405 30 0 4
5 1001 375 127 0 1
5 4000 138 190 2 7
5 4001 183 61 2 7
5 0 489 206 4 5
5 1 381 258 4 0
5 800 205 104 6 7
5 801 222 326 6 7
5 5000 105 115 3 5
5 5001 61 46 3 7
6 1000 415 40 0 4
6 1001 385 117 0 1
6 4000 97 190 2 7
6 4001 142 61 2 7
6 0 489 204 4 0
6 1 381 256 4 0
6 800 185 104 6 7
6 801 202 326 6 7
6 5000 95 125 3 5
6 5001 51 46 3 7
7 1000 425 50 0 4
7 1001 375 127 0 4
7 4000 56 190 2 7
7 4001 101 61 2 7
7 0 489 202 4 0
7 1 383 254 4 1
7 800 165 104 6 7
7 801 182 326 6 7
7 5000 85 135 3 5
7 5001 41 46 3 7
8 1000 425 60 0 3
8 1001 385 137 0 4
8 4000 15 190 2 7
8 4001 60 61 2 7
8 0 489 200 4 0
8 1 385 254 4 6
8 800 145 104 6 7
8 801 162 326 6 7
8 5000 75 145 3 5
8 5001 31 46 3 7
